Coin,Variable,Mean,Std,Min,Max,Skewness,Kurtosis
Binancecoin,Close,333.559136,106.834746,124.434258,675.684082,1.1098,0.6617
Binancecoin,Log_Return,0.001023,0.048386,-0.40445,0.529218,0.6915,21.6383
Binancecoin,Target,0.000834,0.048057,-0.40445,0.529218,0.6649,22.1284
Bitcoin,Close,34789.417226,12774.319673,15787.28418,67566.828125,0.5127,-0.7225
Bitcoin,Log_Return,-9.3e-05,0.032549,-0.174053,0.135764,-0.3511,3.4502
Bitcoin,Target,-5.8e-05,0.032532,-0.174053,0.135764,-0.3538,3.464
Ethereum,Close,2220.593284,861.128235,993.63678,4812.087402,1.0306,0.1904
Ethereum,Log_Return,0.000246,0.042329,-0.317459,0.225649,-0.5189,5.6608
Ethereum,Target,0.000255,0.042327,-0.317459,0.225649,-0.5196,5.6627
Litecoin,Close,114.52581,60.463661,43.300301,386.450775,1.3336,1.6668
Litecoin,Log_Return,-0.000863,0.047779,-0.441189,0.248434,-0.9001,9.8565
Litecoin,Target,-0.00087,0.047779,-0.441189,0.248434,-0.8997,9.8556
