Coin,Date,Log_Return,Close
Binancecoin,2021-02-10,0.1843,129.74
Binancecoin,2021-02-17,0.236,164.67
Binancecoin,2021-02-18,0.1738,195.93
Binancecoin,2021-02-19,0.5292,332.62
Binancecoin,2021-02-20,-0.262,255.95
Binancecoin,2021-02-23,-0.1468,230.99
Binancecoin,2021-03-01,0.1947,254.63
Binancecoin,2021-03-09,0.1998,293.46
Binancecoin,2021-04-20,0.1503,587.03
Binancecoin,2021-05-19,-0.4045,339.03
Binancecoin,2021-05-20,0.1493,393.61
Binancecoin,2021-05-21,-0.1876,326.3
Binancecoin,2021-05-24,0.2725,345.31
Binancecoin,2021-06-21,-0.2271,270.98
Binancecoin,2021-09-07,-0.1721,417.51
Binancecoin,2022-05-09,-0.1716,299.35
Binancecoin,2022-05-11,-0.1679,269.96
Binancecoin,2022-11-09,-0.2054,266.85
Bitcoin,2021-02-23,-0.1046,48824.43
Bitcoin,2021-05-12,-0.143,49150.54
Bitcoin,2021-05-19,-0.1481,37002.44
Bitcoin,2021-05-24,0.1072,38705.98
Bitcoin,2021-06-09,0.1095,37345.12
Bitcoin,2021-06-21,-0.1195,31676.69
Bitcoin,2021-09-07,-0.1172,46811.13
Bitcoin,2021-09-20,-0.0981,42843.8
Bitcoin,2022-01-21,-0.1096,36457.32
Bitcoin,2022-02-04,0.1106,41500.88
Bitcoin,2022-02-28,0.1358,43193.23
Bitcoin,2022-05-09,-0.1171,30296.95
Bitcoin,2022-06-13,-0.1741,22487.39
Bitcoin,2022-06-16,-0.1021,20381.65
Bitcoin,2022-08-19,-0.106,20877.55
Bitcoin,2022-09-09,0.1009,21381.15
Bitcoin,2022-11-08,-0.1054,18541.27
Bitcoin,2022-11-09,-0.1549,15880.78
Bitcoin,2022-11-10,0.102,17586.77
Bitcoin,2023-10-23,0.0981,33086.23
Ethereum,2021-05-03,0.1504,3431.09
Ethereum,2021-05-19,-0.3175,2460.68
Ethereum,2021-05-21,-0.1358,2430.62
Ethereum,2021-05-24,0.2256,2643.59
Ethereum,2021-05-31,0.1274,2714.95
Ethereum,2021-06-21,-0.1736,1888.45
Ethereum,2021-09-07,-0.1367,3426.39
Ethereum,2022-01-21,-0.1598,2557.93
Ethereum,2022-06-13,-0.1821,1204.58
Ethereum,2022-06-16,-0.1441,1067.73
Ethereum,2022-07-18,0.165,1578.72
Ethereum,2022-08-19,-0.1355,1612.99
Ethereum,2022-11-08,-0.1629,1332.84
Ethereum,2022-11-09,-0.1918,1100.17
Ethereum,2022-11-10,0.1665,1299.46
Litecoin,2021-02-23,-0.1623,176.93
Litecoin,2021-05-05,0.1507,356.04
Litecoin,2021-05-12,-0.2193,303.08
Litecoin,2021-05-19,-0.4412,189.52
Litecoin,2021-05-21,-0.1638,180.2
Litecoin,2021-05-23,-0.1669,143.52
Litecoin,2021-05-24,0.2484,183.99
Litecoin,2021-06-21,-0.2174,124.79
Litecoin,2021-09-03,0.1483,212.97
Litecoin,2021-09-07,-0.209,178.11
Litecoin,2022-05-09,-0.1869,77.96
Litecoin,2022-05-11,-0.1893,66.39
Litecoin,2022-11-08,-0.1645,57.39
Litecoin,2022-11-10,0.1752,60.36
Litecoin,2023-06-30,0.2436,108.17
